title,description,field,target_role,skill_level,required_plan,tech_preference,learning_goal,interest_tags,learning_objectives,resources,task_checklist,detailed_roadmap,github_starter_template,premium_hints
"AI Resume Screener","Build an AI pipeline that parses resumes and ranks candidates against job requirements.","AI","Backend Developer","intermediate","pro_monthly","Python, FastAPI, PostgreSQL, OpenAI","Build production-ready AI matching services","ai,nlp,recruitment,backend","Design parsing schema
Implement scoring logic
Expose ranking API","FastAPI Docs | https://fastapi.tiangolo.com/
spaCy Docs | https://spacy.io/usage","Create project skeleton
Build resume parser
Implement scoring endpoint
Add test suite","Week 1: Data model and parser
Week 2: Scoring algorithm
Week 3: API hardening
Week 4: Monitoring and optimization","https://github.com/example/ai-resume-screener","Use weighted scoring by must-have vs nice-to-have
Cache embeddings to reduce API cost"
"Customer Churn Predictor","Create a churn prediction workflow from historical customer activity data.","Data Science","Data Analyst","beginner","explorer","Python, Pandas, Scikit-learn","Learn end-to-end predictive modeling","classification,churn,analytics,python","Prepare clean feature table
Train baseline classification model
Evaluate with business metrics","Pandas Docs | https://pandas.pydata.org/docs/
Scikit-learn Guide | https://scikit-learn.org/stable/user_guide.html","Load and clean dataset
Engineer customer features
Train and evaluate model
Write insight summary","","",""
"Cloud Cost Anomaly Monitor","Detect unusual cloud spending patterns and send alerts to teams.","Cloud & DevOps","DevOps Engineer","intermediate","pro_yearly","Python, AWS Lambda, CloudWatch, SNS","Build cost-observability automation","cloud,finops,alerts,devops","Ingest billing data
Detect anomalies
Trigger alert workflow","AWS Cost Explorer | https://docs.aws.amazon.com/cost-management/
CloudWatch Docs | https://docs.aws.amazon.com/cloudwatch/","Export daily spend data
Implement anomaly detector
Publish alerts to SNS
Create runbook","Sprint 1: Billing ingestion
Sprint 2: Detection logic
Sprint 3: Alerting and runbook
Sprint 4: Dashboard and KPI review","https://github.com/example/cloud-cost-monitor","Tune thresholds by service category
Add weekly trend baselines before alerting"
"Secure Auth API","Implement secure authentication and authorization for a REST backend.","Cybersecurity","Backend Developer","intermediate","explorer","Python, Django, DRF, JWT","Ship secure auth flows in web APIs","security,authentication,jwt,backend","Design auth architecture
Implement token lifecycle
Add endpoint protection tests","Django Auth Docs | https://docs.djangoproject.com/en/stable/topics/auth/
OWASP ASVS | https://owasp.org/www-project-application-security-verification-standard/","Create auth endpoints
Add JWT refresh flow
Protect role-based routes
Write security tests","","",""
"Fraud Detection Feature Store","Build reusable fraud-risk features and train a detection model.","AI","Data Analyst","advanced","pro_monthly","Python, Feature Store, XGBoost","Design reusable ML feature pipelines","fraud,mlops,features,analytics","Define fraud features
Create offline/online parity checks
Train and compare models","XGBoost Docs | https://xgboost.readthedocs.io/
Feature Store Guide | https://docs.feast.dev/","Define feature contracts
Build feature generation jobs
Train model variants
Track drift metrics","Phase 1: Feature ideation
Phase 2: Data pipeline
Phase 3: Model benchmark
Phase 4: Drift monitoring","https://github.com/example/fraud-feature-store","Use point-in-time joins to avoid leakage
Document feature ownership and SLA"
"Portfolio API Platform","Develop a portfolio backend with projects, skills, and contact workflows.","Web Development","Backend Developer","beginner","explorer","Python, Django, PostgreSQL, Docker","Practice backend architecture and deployment basics","api,django,portfolio,backend","Model portfolio entities
Build CRUD APIs
Deploy containerized service","Django REST Framework | https://www.django-rest-framework.org/
Docker Docs | https://docs.docker.com/","Create Django app structure
Implement serializers and views
Add API tests
Deploy with Docker","","",""
"Marketing Attribution Dashboard","Build multi-touch attribution reports for campaign performance.","Data Science","Data Analyst","intermediate","pro_monthly","SQL, Python, Power BI","Measure campaign ROI with reliable attribution","attribution,bi,sql,marketing","Build attribution logic
Create KPI dashboard
Explain tradeoffs in model choice","Mode SQL Tutorial | https://mode.com/sql-tutorial/
Power BI Learn | https://learn.microsoft.com/power-bi/","Create event model in SQL
Implement attribution query set
Build dashboard pages
Present recommendations","Week 1: Event schema
Week 2: Attribution SQL
Week 3: Dashboard build
Week 4: Executive summary","https://github.com/example/marketing-attribution-dashboard","Compare first-touch, last-touch, and position-based models
Track uncertainty in sparse channels"
"SOC Incident Triage Assistant","Create a triage workflow that prioritizes high-risk security alerts.","Cybersecurity","SOC Analyst","intermediate","pro_yearly","Python, ELK, Sigma","Improve SOC triage speed and consistency","soc,siem,incident,response","Map alert severity model
Automate enrichment steps
Define escalation rules","Sigma Rules | https://sigmahq.io/
Elastic Security | https://www.elastic.co/security","Parse incoming alerts
Enrich with threat intel
Rank and route incidents
Measure MTTR improvements","Sprint 1: Severity matrix
Sprint 2: Enrichment pipeline
Sprint 3: Escalation automation
Sprint 4: KPI tracking","https://github.com/example/soc-triage-assistant","Prioritize detections with context confidence score
Attach analyst playbook links per alert type"
"E-commerce Recommendation Engine","Build product recommendation APIs with collaborative filtering and fallback rules.","AI","Backend Developer","advanced","pro_yearly","Python, Redis, PostgreSQL, FastAPI","Deliver low-latency recommendation APIs","recommendation,ranking,api,ml","Implement recommendation candidates
Add ranking and fallback rules
Expose API for storefront","RecSys Handbook | https://www.recsyswiki.com/
Redis Docs | https://redis.io/docs/","Create interaction data model
Implement candidate generation
Build ranking endpoint
Add latency tests","Phase 1: Candidate retrieval
Phase 2: Ranking quality
Phase 3: API integration
Phase 4: A/B testing","https://github.com/example/ecommerce-recommendation-engine","Use popularity fallback for cold-start users
Track hit-rate and conversion uplift"
"Data Quality Rule Engine","Build data quality checks and failure alerts for analytics pipelines.","Data Science","Data Analyst","beginner","explorer","Python, Great Expectations, SQL","Learn practical data quality engineering","data-quality,etl,analytics,testing","Define quality dimensions
Implement validation suite
Create data quality report","Great Expectations | https://docs.greatexpectations.io/
dbt Docs | https://docs.getdbt.com/","Define validation rules
Run checks on sample pipeline
Alert on failures
Document ownership","","",""
