title,description,field,target_role,skill_level,required_plan,tech_preference,learning_goal,interest_tags,learning_objectives,resources,task_checklist,detailed_roadmap,github_starter_template,premium_hints
Event-Driven Order Service,"Build a resilient order processing backend using event-driven architecture patterns.",Backend Architecture,Backend Engineer,intermediate,pro_monthly,"Python, FastAPI, RabbitMQ","Design scalable backend services","backend,event-driven,architecture",,,,,,
API Gateway Rate Limit Layer,"Implement centralized authentication, routing, and rate limiting for microservices APIs.",Backend Architecture,Backend Engineer,intermediate,pro_monthly,"Node.js, Kong, Redis","Harden API gateway strategy","api-gateway,security,backend",,,,,,
NFT Metadata Verifier,"Create a tool that validates NFT metadata integrity and schema compliance.",Blockchain Development,Blockchain Developer,intermediate,pro_monthly,"Solidity, Python, IPFS","Improve blockchain data validation skills","blockchain,nft,validation",,,,,,
Solidity Access Control Audit,"Audit smart contracts for role-based access control vulnerabilities.",Blockchain Development,Smart Contract Auditor,advanced,pro_yearly,"Solidity, Slither, Foundry","Practice security auditing workflows","blockchain,solidity,security",,,,,,
Layer2 Gas Tracker,"Build a dashboard to compare gas usage across major Layer2 networks.",Blockchain Development,Blockchain Analyst,intermediate,pro_monthly,"Python, Web3, Grafana","Analyze transaction cost efficiency","blockchain,layer2,analytics",,,,,,
Blue Green Release Toolkit,"Automate blue-green deployments with health checks and rollback support.",Cloud & DevOps,DevOps Engineer,intermediate,pro_monthly,"Docker, Nginx, GitHub Actions","Ship safer production releases","devops,deployment,automation",,,,,,
Kubernetes Cost Guardrails,"Set budget alerts and rightsizing recommendations for Kubernetes workloads.",Cloud & DevOps,Platform Engineer,advanced,pro_yearly,"Kubernetes, Prometheus, FinOps","Control infrastructure spend proactively","kubernetes,cost,cloud",,,,,,
Multi Region Object Replicator,"Set up object storage replication with failover checks across regions.",Cloud Computing,Cloud Engineer,intermediate,pro_monthly,"AWS S3, Lambda, CloudWatch","Build resilient cloud storage systems","cloud,storage,resilience",,,,,,
Serverless Image Processor,"Create a serverless pipeline that resizes, compresses, and tags uploaded images.",Cloud Computing,Cloud Engineer,beginner,pro_monthly,"AWS Lambda, S3, API Gateway","Learn event-driven cloud workflows","serverless,cloud,images",,,,,,
Cloud IAM Baseline Scanner,"Detect weak IAM policies and generate remediation suggestions.",Cloud Computing,Cloud Security Engineer,advanced,pro_yearly,"Python, AWS IAM, Security Hub","Improve cloud identity security","cloud,iam,security",,,,,,
Incremental ETL Orchestrator,"Build incremental ETL jobs with watermarking and retry handling.",Data Engineering,Data Engineer,intermediate,pro_monthly,"Python, Airflow, Postgres","Design reliable data pipelines","data-engineering,etl,pipelines",,,,,,
CDC Pipeline to Warehouse,"Ingest change-data-capture streams and load them into analytics tables.",Data Engineering,Analytics Engineer,advanced,pro_yearly,"Debezium, Kafka, BigQuery","Implement near real-time analytics ingestion","cdc,kafka,warehouse",,,,,,
Data Quality Rule Engine,"Implement rule-based data quality checks with failure alerts.",Data Engineering,Data Engineer,intermediate,pro_monthly,"Great Expectations, Python, SQL","Enforce trusted data contracts","data-quality,testing,sql",,,,,,
Interactive Cohort Retention Board,"Design retention visuals with cohort slices and dynamic filters.",Data Visualization,Data Analyst,intermediate,pro_monthly,"Tableau, SQL, Python","Tell retention stories clearly","visualization,cohort,analytics",,,,,,
Geo Heatmap Insights App,"Build geo heatmaps to reveal user activity and density patterns.",Data Visualization,BI Developer,beginner,pro_monthly,"Power BI, Mapbox, SQL","Create map-based insight experiences","data-viz,maps,bi",,,,,,
Executive KPI Story Deck,"Produce an executive-ready KPI deck with narrative visual summaries.",Data Visualization,Business Analyst,intermediate,pro_monthly,"PowerPoint, Python, Looker","Communicate insights for leadership","kpi,storytelling,visualization",,,,,,
Self Hosted Runner Fleet,"Provision and secure a scalable pool of self-hosted CI runners.",DevOps,DevOps Engineer,advanced,pro_yearly,"GitHub Actions, Terraform, Linux","Optimize CI throughput and control","devops,ci,automation",,,,,,
Terraform Drift Detector,"Detect infrastructure drift and open automated remediation pull requests.",DevOps,Platform Engineer,intermediate,pro_monthly,"Terraform, GitHub Actions, Python","Maintain infrastructure consistency","terraform,devops,infra",,,,,,
Release Notes Automation Bot,"Generate release notes from merged pull requests and semantic commits.",DevOps,Release Engineer,beginner,pro_monthly,"Python, GitHub API, Markdown","Automate software release communication","release,automation,devops",,,,,,
Accessible Component Library,"Build reusable UI components with strong accessibility and keyboard support.",Frontend Development,Frontend Engineer,intermediate,pro_monthly,"React, TypeScript, Storybook","Ship inclusive frontend systems","frontend,accessibility,ui",,,,,,
